Number of clicks on similar products,Number of similar products purchased so far,Average rating given to similar products,Gender,Median purchasing price (in rupees),Rating of the product,Brand of the product,Customer review sentiment score (overall),Price of the product,Holiday,Season,Geographical locations,Probability for the product to be recommended to the person,Product ID,Category,Age of Customer,Purchase Frequency (Monthly),Preferred Payment Method,Return History,Customer Loyalty Score,Active Promotional Campaign,Nombre del producto
16,7,3.9,female,7000,4.0,Flying Machine,0.7,900,No,winter,plains,0.8,P00076,Food,,,,,,,Luxury Flying Machine Juice
8,3,3.3,male,1000,3.4,Max,0.3,200,No,summer,coastal,0.3,P00077,Food,,,,,,,Smart Max Juice
27,12,4.7,female,200,4.8,Patanjali Ayurved (Health Care),0.9,700,No,winter,plains,1.0,P00078,Food,,,,,,,Mega Patanjali Ayurved (Health Care) Juice
13,6,3.6,male,900,3.8,Streax,0.5,400,Yes,winter,plains,0.6,P00079,Food,,,,,,,Eco Streax Juice
7,2,2.4,female,4000,2.6,Wildcraft,-0.1,500,No,summer,mountains,0.05,P00080,Beauty,,,,,,,Luxury Wildcraft Lipstick
20,9,4.4,male,100,4.5,Moov,0.85,800,Yes,winter,plains,0.9,P00081,Sports,,,,,,,Eco Moov Shoes
32,15,4.8,female,6000,4.9,Forest Essentials,0.9,900,No,winter,mountains,1.0,P00082,Health,,,,,,,Eco Forest Essentials Mask
11,4,3.1,male,300,3.2,PUMA,0.1,400,No,summer,plains,0.1,P00083,Furniture,,,,,,,Pro PUMA Shelf
24,11,4.3,female,500,4.5,Wildcraft,0.8,300,No,summer,plains,0.9,P00084,Clothing,,,,,,,Luxury Wildcraft T-Shirt
10,3,2.7,male,1000,2.9,Lee,0.1,100,No,monsoon,plains,0.1,P00085,Sports,,,,,,,Mega Lee Racket
35,16,4.9,female,800,5.0,Lee Cooper,0.9,700,No,winter,mountains,1.0,P00086,Electronics,,,,,,,Luxury Lee Cooper Smartwatch
6,2,2.8,female,4000,3.0,Manyavar Mohey,0.0,500,Yes,summer,plains,0.1,P00087,Clothing,,,,,,,Super Manyavar Mohey Jeans
19,8,4.3,male,200,4.5,Pepe Jeans London,0.8,900,No,winter,plains,0.9,P00088,Health,,,,,,,Smart Pepe Jeans London Medicine
9,4,3.0,female,6000,3.1,Head Hunters,0.2,1000,Yes,winter,plains,0.2,P00089,Furniture,,,,,,,Super Head Hunters Bed
28,13,4.6,male,500,4.7,SleepyCat,0.9,800,No,summer,coastal,1.0,P00090,Health,,,,,,,Ultra SleepyCat Bandage
14,7,3.7,female,2000,3.8,Johnson & Johnson,0.6,200,No,summer,plains,0.7,P00091,Furniture,,,,,,,Luxury Johnson & Johnson Shelf
23,10,4.5,male,900,4.6,Wakefit,0.85,300,No,winter,plains,0.9,P00092,Furniture,,,,,,,Pro Wakefit Sofa
12,5,3.2,female,700,3.4,Manyavar Mohey,0.1,400,No,summer,plains,0.1,P00093,Sports,,,,,,,Pro Manyavar Mohey Racket
25,11,4.4,male,3000,4.5,AmazonBasics,0.8,500,Yes,winter,plains,0.9,P00094,Clothing,,,,,,,Super AmazonBasics T-Shirt
15,6,3.5,female,400,3.7,Lakme Ayurveda,0.5,600,Yes,winter,plains,0.6,P00095,Clothing,,,,,,,Mega Lakme Ayurveda Cap
30,14,4.7,male,1000,4.8,Moov,0.9,700,No,summer,plains,1.0,P00096,Beauty,,,,,,,Pro Moov Lotion
5,2,2.5,female,2000,2.6,Head & Shoulders,-0.1,500,Yes,winter,plains,0.05,P00097,Furniture,,,,,,,Mega Head & Shoulders Table
21,9,4.2,male,6000,4.4,Flying Machine,0.8,900,No,winter,mountains,0.9,P00098,Food,,,,,,,Luxury Flying Machine Meal
17,7,3.8,female,500,4.0,Kama Ayurveda,0.7,200,No,summer,coastal,0.8,P00099,Beauty,,,,,,,Ultra Kama Ayurveda Perfume
36,16,4.8,male,100,4.9,U.S. Polo Assn. Women,0.9,700,No,winter,plains,1.0,P00100,Beauty,,,,,,,Mega U.S. Polo Assn. Women Perfume
9,4,3.3,female,100,3.4,Dettol,0.3,200,No,summer,plains,0.3,P00101,Furniture,,,,,,,Mega Dettol Chair
26,12,4.5,male,3000,4.7,Lee,0.85,500,Yes,winter,mountains,0.9,P00102,Food,,,,,,,Ultra Lee Snack
14,7,3.8,female,2000,4.0,SleepyCat,0.6,600,Yes,winter,plains,0.7,P00103,Health,,,,,,,Smart SleepyCat Medicine
7,2,2.7,female,5000,2.9,Flying Machine,-0.1,500,Yes,summer,plains,0.05,P00104,Clothing,,,,,,,Mega Flying Machine Jeans
31,14,4.7,male,600,4.8,Pepe Jeans London,0.9,700,No,winter,plains,1.0,P00105,Electronics,,,,,,,Luxury Pepe Jeans London Laptop
16,7,3.7,female,300,3.9,Lee Cooper,0.7,200,No,summer,coastal,0.8,P00106,Beauty,,,,,,,Luxury Lee Cooper Perfume
8,3,3.1,male,400,3.2,Lakme Ayurveda,0.1,300,No,summer,plains,0.1,P00107,Electronics,,,,,,,Smart Lakme Ayurveda Tablet
23,10,4.3,female,7000,4.4,Wildcraft,0.8,900,Yes,winter,mountains,0.9,P00108,Clothing,,,,,,,Eco Wildcraft Jeans
11,5,3.2,male,1000,3.4,Manyavar Mohey,0.2,100,No,summer,plains,0.2,P00109,Sports,,,,,,,Smart Manyavar Mohey Gloves
28,13,4.8,female,400,4.9,Pepperfry,0.9,700,No,winter,plains,1.0,P00110,Clothing,,,,,,,Super Pepperfry Jacket
17,8,3.9,male,500,4.1,Kama Ayurveda,0.8,200,No,summer,coastal,0.9,P00111,Clothing,,,,,,,Luxury Kama Ayurveda Jeans
12,6,3.4,female,2000,3.6,Lee,0.5,400,Yes,summer,plains,0.6,P00112,Furniture,,,,,,,Pro Lee Chair
6,2,2.6,male,6000,2.8,Wildcraft,-0.1,500,Yes,summer,plains,0.05,P00113,Electronics,,,,,,,Luxury Wildcraft Laptop
21,10,4.4,female,300,4.5,Manyavar Mohey,0.8,600,No,winter,plains,0.9,P00114,Food,,,,,,,Mega Manyavar Mohey Meal
10,4,3.0,male,700,3.1,Lee,-0.1,100,No,monsoon,plains,0.05,P00115,Furniture,,,,,,,Smart Lee Table
35,16,4.8,female,5000,4.9,Johnson & Johnson,0.9,800,Yes,winter,plains,1.0,P00116,Clothing,,,,,,,Super Johnson & Johnson Jacket
20,9,4.2,male,800,4.3,Streax,0.7,300,No,winter,plains,0.8,P00117,Furniture,,,,,,,Luxury Streax Shelf
13,6,3.5,female,1000,3.7,Pepe Jeans London,0.4,500,Yes,winter,plains,0.5,P00118,Electronics,,,,,,,Smart Pepe Jeans London Headphones
29,14,4.7,male,2000,4.8,Manyavar Mohey,0.9,900,No,winter,mountains,1.0,P00119,Clothing,,,,,,,Mega Manyavar Mohey Jacket
15,7,3.8,female,400,4.0,Max,0.6,200,No,summer,plains,0.7,P00120,Furniture,,,,,,,Mega Max Table
30,15,4.9,male,600,5.0,Wildcraft,0.9,700,No,winter,plains,1.0,P00121,Food,,,,,,,Ultra Wildcraft Cereal
24,11,4.6,female,2000,4.7,SleepyCat,0.9,800,No,summer,plains,1.0,P00122,Electronics,,,,,,,Mega SleepyCat Tablet
18,8,4.0,male,300,4.1,PUMA,0.7,200,No,winter,plains,0.8,P00123,Electronics,,,,,,,Mega PUMA Tablet
32,15,4.8,female,800,4.9,Forest Essentials,0.9,700,No,winter,mountains,1.0,P00124,Beauty,,,,,,,Ultra Forest Essentials Cream
5,2,2.5,male,5000,2.7,Head & Shoulders,-0.1,500,Yes,winter,plains,0.05,P00125,Clothing,,,,,,,Ultra Head & Shoulders Jeans
18,8,4.1,female,7000,4.2,Flying Machine,0.8,900,No,winter,plains,0.9,P00126,Electronics,,,,,,,Pro Flying Machine Tablet
14,7,3.8,male,300,4.0,Pepperfry,0.6,200,No,summer,coastal,0.7,P00127,Electronics,,,,,,,Ultra Pepperfry Tablet
7,3,3.0,female,400,3.1,Patanjali Ayurved (Health Care),0.1,300,No,summer,plains,0.1,P00128,Clothing,,,,,,,Eco Patanjali Ayurved (Health Care) Sneakers
23,11,4.3,male,800,4.5,Manyavar Mohey,0.7,400,No,summer,plains,0.8,P00129,Clothing,,,,,,,Luxury Manyavar Mohey Jacket
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6,P00130,Beauty,,,,,,,Smart Wildcraft Lotion
27,13,4.6,male,1000,4.7,Moov,0.9,800,No,summer,plains,1.0,P00131,Sports,,,,,,,Eco Moov Racket
10,5,3.1,female,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1,P00132,Beauty,,,,,,,Luxury Lakme Ayurveda Lotion
36,17,4.8,male,200,4.9,Lee Cooper,0.9,700,No,winter,plains,1.0,P00133,Beauty,,,,,,,Luxury Lee Cooper Cream
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8,P00134,Health,,,,,,,Mega Johnson & Johnson Bandage
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3,P00135,Sports,,,,,,,Eco Fastrack Bicycle
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0,P00136,Furniture,,,,,,,Smart Wildcraft Table
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9,P00137,Electronics,,,,,,,Eco Lee Tablet
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2,P00138,Clothing,,,,,,,Luxury Patanjali Ayurved (Health Care) Sneakers
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0,P00139,Beauty,,,,,,,Luxury Pepe Jeans London Perfume
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8,P00140,Food,,,,,,,Luxury Manyavar Mohey Snack
9,4,2.9,male,3000,3.1,Pepperfry,0.0,600,Yes,summer,mountains,0.1,P00141,Sports,,,,,,,Pro Pepperfry Gloves
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9,P00142,Clothing,,,,,,,Mega Flying Machine Sneakers
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7,P00143,Food,,,,,,,Super Sugar Cosmetics Snack
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1,P00144,Clothing,,,,,,,Eco Wildcraft Sneakers
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8,P00145,Food,,,,,,,Mega Urban Ladder Candy
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0,P00146,Furniture,,,,,,,Ultra Lakme Ayurveda Table
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9,P00147,Food,,,,,,,Luxury Head Hunters Candy
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0,P00148,Clothing,,,,,,,Ultra Manyavar Mohey Sneakers
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9,P00149,Clothing,,,,,,,Smart Pepe Jeans London Sneakers
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0,P00150,Health,,,,,,,Mega Wakefit Mask
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9,P00151,Clothing,,,,,,,Pro Wildcraft Jeans
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8,P00152,Health,,,,,,,Smart Johnson & Johnson Bandage
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1,P00153,Clothing,,,,,,,Eco Lakme Ayurveda Jacket
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0,P00154,Electronics,,,,,,,Pro Pepperfry Smartwatch
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1,P00155,Furniture,,,,,,,Smart Forest Essentials Shelf
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8,P00156,Clothing,,,,,,,Mega Manyavar Mohey Cap
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6,P00157,Beauty,,,,,,,Pro Wildcraft Perfume
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0,P00158,Clothing,,,,,,,Super Pepe Jeans London Jeans
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8,P00159,Beauty,,,,,,,Luxury Johnson & Johnson Lotion
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3,P00160,Health,,,,,,,Pro Fastrack Medicine
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0,P00161,Health,,,,,,,Smart Wildcraft Medicine
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9,P00162,Food,,,,,,,Mega Lee Meal
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2,P00163,Beauty,,,,,,,Ultra Patanjali Ayurved (Health Care) Shampoo
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0,P00164,Sports,,,,,,,Super Pepe Jeans London Racket
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1,P00165,Electronics,,,,,,,Smart Wildcraft Smartwatch
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9,P00166,Health,,,,,,,Mega Flying Machine Mask
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7,P00167,Food,,,,,,,Ultra Sugar Cosmetics Meal
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1,P00168,Food,,,,,,,Super Wildcraft Meal
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8,P00169,Food,,,,,,,Super Urban Ladder Cereal
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0,P00170,Health,,,,,,,Pro Lakme Ayurveda Bandage
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9,P00171,Sports,,,,,,,Ultra Head Hunters Shoes
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0,P00172,Electronics,,,,,,,Eco Manyavar Mohey Smartwatch
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9,P00173,Food,,,,,,,Pro Pepe Jeans London Candy
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0,P00174,Food,,,,,,,Eco Wakefit Meal
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9,P00175,Clothing,,,,,,,Eco Wildcraft Sneakers
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8,P00176,Health,,,,,,,Eco Johnson & Johnson Bandage
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1,P00177,Sports,,,,,,,Eco Lakme Ayurveda Ball
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0,P00178,Food,,,,,,,Pro Pepperfry Meal
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1,P00179,Sports,,,,,,,Pro Forest Essentials Gloves
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8,P00180,Furniture,,,,,,,Super Manyavar Mohey Shelf
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6,P00181,Food,,,,,,,Smart Wildcraft Candy
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0,P00182,Food,,,,,,,Luxury Pepe Jeans London Juice
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8,P00183,Health,,,,,,,Super Johnson & Johnson Supplements
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3,P00184,Electronics,,,,,,,Ultra Fastrack Tablet
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0,P00185,Sports,,,,,,,Pro Wildcraft Ball
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9,P00186,Health,,,,,,,Mega Lee Mask
